ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S37_027,41,162,41,1.843589851,one,ults,aqu,Pale,Aeric,Decomposition Residuum,SPD,53,21949.20508,70.33902439,12.32195122,17.33902439,58.6728395,9.36111111,31.96604939,0.52902,0.41592,4.9244,5.0272,3.9244,3.8,1.87387,0.10093,17.3386,7.08776,0.94021,0.39431,12.37574,7.48207,0.061998,0.051369,0,0,26,65,0,9,0,0,13,84,0,4,KA,KA
S37_029,66,137,66,8.370822823,one,ults,aqu,Pale,Arenic,Decomposition Residuum,PD,0,17535.75531,90.24848485,6.195454546,3.556060606,67.47591241,2.756934307,29.76715328,0.44062,0.353,5.0983,4.6627,4.1528,3.7109,1.15159,0.10608,3.5563,6.45787,0.40476,0.11508,6.87959,6.57295,0.036352,0.017099,0,0,24,32,0,44,0,0,16,79,0,5,QZ,KA
S37_030,117,86,117,7.310984324,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,38,17124.12302,90.4034188,7.678632479,1.917948718,78.8279069,7.149999993,14.02209301,0.41094,0.32197,6.8222,6.1728,4.2941,3.8569,0.27578,0.08,1.9178,4.8416,0.05572,0.26821,2.19056,5.10981,0.032923,0.053488,0,0,37,19,0,44,0,0,33,49,0,18,MIXED,KA
S37_031,15,188,15,2.65878005,two,alfs,aqu,Alb,Typic,Alluvium,PD,0,6521.381816,57.5,27.1,15.4,34.99680851,24.05797872,40.94521277,0.46,0.4207,5.1,4.9084,3.8,3.7642,2.07,0.224,15.4,15.94984,3.41,16.15352,15.59,32.10336,0.219,0.489314,36,0,16,42,0,6,74,0,0,21,0,6,MIXED,SM
S38_003,89,73,89,9.299019322,one,alfs,ud,Hapl,Arenic,Decomposition Residuum,WD,152,12204.35588,94.39101124,4.011235956,1.597752809,81.0520548,4.090410959,14.85753424,0.38338,0.36274,5.4551,5.4411,5.1945,4.4959,0.29051,0.08863,1.5978,3.77603,1.668,7.63976,3.50431,11.41579,0.39389,0.668124,38,0,20,19,0,23,56,0,21,17,0,7,SM,SM
S38_004,43,160,43,5.3022679,one,alfs,ud,Hapl,Typic,Decomposition Residuum,WD,250,12241.97192,93.20930233,4.874418605,1.91627907,85.70125,4.138125,10.160625,0.38838,0.40276,5.0419,4.5376,4.4,4.3189,0.2776,0.07388,1.9162,4.88307,0.7114,4.14649,3.0009,9.01308,0.22709,0.501632,47,0,24,16,0,13,83,0,0,12,0,6,SM,SM
S38_005,127,76,127,14.59702867,one,alfs,ud,Pale,Grossarenic,Decomposition Residuum,WD,155,13459.72045,95.19133858,3.369291339,1.439370079,75.62631579,3.363157895,21.01052631,0.38875,0.35237,5.1287,4.3842,4.6654,3.8341,0.13698,0.04842,1.4377,3.46779,0.37801,3.98219,1.90561,7.44998,0.201614,0.532721,0,0,27,46,0,27,0,0,17,74,0,9,KA,KA
S38_006,68,21,68,43.75652173,one,alfs,ud,Hapl,Arenic,Decomposition Residuum,WD,250,20008.83121,97.28088235,2.042647059,0.676470588,66.2,4.2,29.6,0.42586,0.44,6.3147,7.5,6.1249,6.7,0.19228,0.42,0.6764,3.21,1.10188,13.81,1.82979,17.02,0.538302,0.811,0,0,23,58,0,19,0,0,10,83,0,7,KA,KA
S38_017,23,23,23,10.35851851,one,alfs,aqu,Endo,Aeric,Decomposition Residuum,PD,10,3295.816312,92.22173913,4.843478261,2.93478261,61,8.6,30.4,0.42045,0.4,6.1435,6.6,5.913,6.5,1.8321,0.45,2.9355,4.65,8.96435,19.74,11.70925,24.39,0.74375,0.809,17,0,40,19,0,24,22,0,32,25,0,21,HV,HV
S38_018,53,150,53,26.62619045,one,ods,aqu,Hapl,Ultic,Solution Residuum,PD,28,5105.328921,96.00943396,3.409433963,0.581132076,82.28400001,2.242666666,15.47333333,0.41589,0.40278,4.5714,4.7346,3.996,4.008,0.36203,0.31452,0.5811,12.70233,0.13994,1.30877,2.59895,14.0111,0.048782,0.096619,0,0,0,0,0,100,49,0,27,7,0,17,QZ,SM
